county_name_panel,county_code_raw,year,county_code_key,ssb12993_region_code,ssb12993_region_label,teacher_pls_total_teachers_n,teacher_pls_full_time_teachers_n,teacher_pls_full_time_share_pct,teacher_pls_share_long_teacher_education_pct,teacher_pls_share_short_teacher_education_pct,teacher_pls_share_with_teacher_education_pct,teacher_pls_share_with_other_educational_science_pct,teacher_pls_share_without_educational_science_pct,teacher_pls_share_upper_secondary_pct,teacher_pls_share_with_pedagogical_education_pct,ssb12919_region_code,ssb12919_region_label,teacher_all_total_teachers_n,teacher_all_share_with_teacher_education_pct,teacher_all_share_with_other_educational_science_pct,teacher_all_share_with_educational_science_pct,teacher_all_share_without_educational_science_pct,teacher_all_share_upper_secondary_or_less_pct
Rogaland,11,2016,11,11,Rogaland,6764.0,4889.0,72.27971614429332,7.09639266706091,71.14133648728563,78.23772915434654,10.097575399172086,6.623299822590184,5.041395623891189,88.33530455351863,EKA11,Rogaland,6599.0,77.66328231550234,9.486285800878921,87.14956811638127,7.955750871344143,4.894681012274587
Rogaland,11,2017,11,11,Rogaland,6990.0,5071.0,72.54649499284692,8.569384835479257,69.47067238912732,78.04005722460658,10.100143061516452,6.380543633762518,5.47925608011445,88.14020028612303,EKA11,Rogaland,6786.0,77.74830533451224,9.475390509873268,87.2236958443855,7.589154140878279,5.187150014736221
Rogaland,11,2018,11,11,Rogaland,7179.0,5283.0,73.58963643961555,9.332776152667503,67.90639364814041,77.23916980080791,10.76751636718206,6.212564424014487,5.780749407995542,88.00668616798997,EKA11,Rogaland,6949.0,76.96071377176573,10.102172974528708,87.06288674629444,7.6845589293423515,5.252554324363218
Rogaland,11,2019,11,11,Rogaland,7163.0,5374.0,75.02443110428591,10.679882730699427,68.04411559402484,78.72399832472428,10.973055982130392,5.654055563311462,4.648890129833869,89.69705430685467,EKA11,Rogaland,6922.0,77.665414620052,10.444958104594047,88.11037272464606,7.483386304536261,4.406240970817683
Rogaland,11,2020,11,11,Rogaland,7386.0,5512.0,74.62767397779582,12.144597887896019,66.34172759274303,78.48632548063905,10.817763336041159,5.727051177904143,4.968860005415651,89.3040888166802,EKA11,Rogaland,7134.0,79.61872722175498,10.022427810485002,89.64115503223998,4.79394449116905,5.564900476590973
Hordaland ( - 2019),12,2007,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2008,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2009,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2010,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2011,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2012,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2013,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2014,12,,,,,,,,,,,,,,,,,,,,
Hordaland ( - 2019),12,2015,12,12,Hordaland (-2019),7206.0,4896.0,67.94338051623647,5.648071051901193,72.49514293644185,78.14321398834305,11.004718290313628,4.968082153760755,5.883985567582569,89.14793227865667,EKA12,Hordaland (-2019),7255.0,73.96278428669882,10.117160578911095,84.07994486560992,9.386629910406615,6.53342522398346
Hordaland ( - 2019),12,2016,12,12,Hordaland (-2019),7315.0,5062.0,69.20027341079972,6.315789473684211,72.27614490772386,78.59193438140807,10.608339029391662,5.495557074504443,5.304169514695831,89.20027341079972,EKA12,Hordaland (-2019),7371.0,74.18260751594084,9.781576448243115,83.96418396418397,9.917243250576584,6.118572785239452
Hordaland ( - 2019),12,2017,12,12,Hordaland (-2019),7413.0,5174.0,69.79630379063806,6.5560501821125055,72.07608255766897,78.63213273978147,10.805341966815055,5.004721435316336,5.557803858087144,89.43747470659652,EKA12,Hordaland (-2019),7452.0,74.54374664519592,9.98389694041868,84.5276435856146,9.420289855072465,6.052066559312936
Hordaland ( - 2019),12,2018,12,12,Hordaland (-2019),7501.0,5336.0,71.13718170910546,7.012398346887082,71.35048660178643,78.36288494867351,10.878549526729769,4.8793494200773235,5.879216104519398,89.24143447540328,EKA12,Hordaland (-2019),7496.0,74.4530416221985,10.08537886872999,84.53842049092849,9.231590181430096,6.229989327641409
Hordaland ( - 2019),12,2019,12,12,Hordaland (-2019),7546.0,5524.0,73.20434667373443,8.481314603763582,70.79247283328915,79.27378743705275,10.707659687251523,4.717731248343493,5.3008216273522395,89.98144712430427,EKA12,Hordaland (-2019),7554.0,75.12576118612657,9.796134498279057,84.92189568440561,9.120995499073338,5.957108816521049
Sør-Trøndelag ( - 2017),16,2007,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2008,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2009,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2010,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2011,16,,,,,,,,,,,,,,,,,,,,
